issue_no,comment_no,comment_body
55,224054,"b'Yeah, i was guessing it was known. \n\nI changed line 78 to this which also resolved the issue\n\n```\nvar uri = new UriBuilder(""http"", ""groups.google.com"", 80, href.Replace(""http://groups.google.com/"", """")).Uri;\n```\n'"
59,225601,b'just submitted a patch for this...\n'
59,225800,b'Fixed\n'
55,225801,b'Fixed\n'
57,225802,b'Fixed\n'
58,225846,b'fixed\n'
62,226416,b'I confirmed that it is not possible to _downgrade_ databases.\n_Upgrades_ are supported (and should be seamless) .\nI am closing this issue because the solution to this is to write a dump/load routine.\n'
45,226662,b'Done!\n'
64,226664,b'Done\n'
63,229602,"b'This can be done by users, I think.\nWe already have backup/restore options.\n'"
56,229658,b'We are now using 2.9.1\n'
60,229659,b'Done\n'
66,232260,b'done\n'
65,234029,b'Done\n'
61,235661,b'Done :-)\n'
67,235662,b'Done : -) \n'
68,235663,"b'We have a workaround, but I am really not happy about it.\n'"
69,235666,b'Works :-)\n'
68,238369,b'Fixed\n'
70,240482,b'Done\n'
72,240813,b'mistake\n'
73,240897,"b'Um, I would say that the error is pretty explicit about what is wrong.\nYou need to delete the existing /Data directory\n'"
73,240909,b'This is a clean install. Why would there be an existing DB?\n'
73,240914,"b""In any case, deleting the /Data folder does not solve. Raven creates a new /Data folder, then throws an error to the event log. I'll check the version of JET I'm running. \n"""
73,240921,b'Edit: Microsoft Jet Engine Library 4.0.9505.0 \n'
73,241185,"b""Still doesn't work on Windows Server 2003. Tried everything.\n"""
73,241199,"b'Whoops, repreduced!\n'"
73,241203,"b'And now it is fixed, I hope, can you try?\n'"
73,241273,"b""Yes, I'll give it a try.\n"""
75,242621,b'No longer applicable\n'
74,242622,b'Doing this now in the replication bundle.\n'
76,243113,b'Done\n'
77,243128,b'Done\n'
73,244000,"b'Oren, I was able to start RavenDB as a service with the latest build. This issue appears to be resolved! Thank you.\n'"
83,254119,"b""I'm happy to do this if you want, how do I go about editing the documentation?\n"""
84,260447,b'Should probably be fixed now\n'
83,262537,"b""I've done this now, are the changes okay or do you want some more info?\n"""
83,262543,"b'Where did you make the changes, I am not seeing them\n'"
83,262550,"b'For me they\'re showing up in the ""Querying"" section of the page at http://ravendb.net/documentation/docs-client-api-index.\n'"
86,262630,"b""I've just changed this in the Client API doc at http://ravendb.net/documentation/docs-client-api-index\n"""
86,262632,b'awesome thanks!\n'
86,262662,"b'The irony is that I\'d spell it correctly as ""initialise"" being as I\'m English ;-)\n'"
83,262670,b'Thanks\n'
87,262679,b'Done - in the client api\n'
71,278868,b'Done\n'
90,278869,"b'Fixed, thanks.\n'"
85,278870,b'They now exists\n'
89,278871,b'Can now be done using RESET /indexes/foo\n'
88,278872,b'Documented: http://www.ravendb.net/documentation/how-indexes-work\n'
93,279663,b'Quick workaround is to set the AnonymousAccess mode to All for now.\nThis will be fixed soon.\n'
80,285207,"b'I submitted a pull-request for some of this functionality, i.e. the part that allows you to do session.Store(dynamicDoc) and session.Load<dynamic>(""dynamicDoc/1"")\n'"
97,286653,"b'Also there is some weird handling of non standard id. When I stored such email without ""emails/"" prefix, web admin tool doesn\'t show such document, id was not queryable, but after several put of correct documents, db stats show correct document count, but bad document was still hidden\n'"
97,286752,"b'I just realized I need another property UserId ;) \nStill, public class Email { public string Id { get; set; } } should work or fire exception.\n'"
98,286842,"b""Also searching doesn't work. For example I was looking for FindIdentityProperty, no result. Then I tried google -> FindIdentityProperty here http://ravendb.net/documentation/docs-client-api-index :-)\n"""
99,290293,b'Fixed\n'
96,290294,b'Fixed\n'
100,291801,b'Verified test passes\n'
81,292603,b'This is super important feature...\n'
103,293453,"b'Fixed now, please note that this will work only _after_ a call to SaveChanges()\n'"
102,293454,b'Fixed\n'
105,299929,b'Fixed in:\n\nhttp://github.com/e-tobi/ravendb/commit/10ed23904e72668a82120d0da40366e6a9ec9e0c\n'
106,303997,"b""are you sure session isn't null or email isn't null? Judging by the stack trace I would of said it was that. Not Raven.\n"""
107,308777,b'That is expected when you are getting a conflict\n'
108,309453,"b'I have found something interesting. It fails on my javascript files, e.g. /assets/js/jqueryui/jquery.ui.dialog.js, only. Strange. I can turn of static files authentication, but anyway, it should work :)\nI do not use any additional assembly, just pure mvc2.\n'"
108,309455,b'Other static files like images and styles are requested ok. \n'
108,309467,"b'Correction, other static files fail as well.\n'"
107,309923,"b""I don't think so. I just updated Raven 98 to 100, and then this error started to appearing. Also, the only code which is actually called is AuthenticateRequest (http://pastie.org/1042296)\nI do not see where conflict could be.\n"""
101,311813,"b'I\'m happy to take a look at this is no one else is doing it? How would you see it working, the same way as you can currently set the analysed/not-analysed options?\n\ni.e. Analyzer = {{""Tag"", Analyzer.StopAnalyzer}},\n\nWould this only cover the built-in lucene analyser, listed here http://lucene.apache.org/lucene.net/docs/2.4.0/Lucene.Net.Analysis.html\n'"
109,314761,"b'SORRY (1000 TIMES) I POSTED THIS ON THE WRONG FORUM, SHOULD HAVE BEEN GOOGLE GROUPS FORUM... \n'"
111,316430,"b""It's fixed already in the trunk\n"""
112,318752,b'Easily fixed. See: http://github.com/Inferis/ravendb/commit/da593c1254776759fa713fedc4e428dc711acbba\n'
112,319180,b'Fixed\n'
114,319189,b'Fixed\n'
113,319208,b'Fixed\n'
113,319298,b'Thank you\n'
117,322163,b'Fixed\n'
116,322184,b'Fixed\n'
115,322186,b'Fixed\n'
106,322188,"b""I am considering this as non Raven issue, since the stack trace doesn't show anything\n"""
110,322193,b'Agreed\n'
101,322976,b'Fixed\n'
95,322985,b'Fixed\n'
93,322989,b'Fixed\n'
104,322991,"b'Yes, it should\n'"
105,323014,b'Pulled\n'
119,324826,b'How would you propose to define the credentials to use?\n'
119,324839,"b""RavenConfiguration should have a CredentialsCache and that should be used from the replication task.\n\nFor embedded this would work beatifully. For server (.exe or web), it's trickier, because the only way to populate that cache would be with some startup hook of some sort, or from configuration... haven't made up my mind on what would be best there...\n"""
121,330261,b'You need to reference Raven.Storage.Esent.dll as well\n'
120,330262,b'Fixed\n'
124,333162,"b""also, if the event handler needs to access the store for anything, it can't as there's no sender arg.\n"""
123,333833,"b""I am afraid that I don't understand the purpose of this event.\nCan you give me a scenario where this would be useful?\n"""
124,333842,b'Fixed\n'
122,333848,b'a) fixed\nb) Raven output is now compressed by default\n'
123,333953,"b'auditing? the BeforeStore sounds like it could be cancelled, the transaction rolled-back, etc.\nI want to track after it was definitely stored. Kinda like the Stored event on the document store, but for listeners.\n'"
123,334120,b'What auditing?\nYou would have to go to the server again to do any saves.\n\nA scenario that came to me is wanting to do something with the _metadata_ coming back from the server (which the server is free to change).\nFixed.\n'
125,335846,b'Fixed\n'
126,336026,"b'Known issue, there is a bug in chrome.\nFixed and will be out soon\n'"
127,336721,"b'Yes, I run into the same problem.\nDuring a demo!\n'"
128,338679,"b""Making some pitty progress. If I explicitly set the FieldIndexing as NotAnalyzed, I no longer get the invalid cast exception, but the query no longer finds any results :S.\n\nThe ClrTypes I'm saving look like:\n\nFeedSync.Sync`1[[FeedSync.Raven.Tests.Issues.Foo, FeedSync.Raven.Tests]], FeedSync\n\nand \n\nFeedSync.Raven.Tests.Issues.Foo, FeedSync.Raven.Tests\n\nCould it be an improper indexing because of the special chars in the former that is somehow breaking the index/query?\n"""
128,338686,"b'The query is always performed by the latter, by the way, as seen in the test code.\n'"
128,338936,"b'[Fact]\npublic void WhenTriggerPutsDocument_ThenIndexIsBroken()\n{\n    using (var session = store.OpenSession())\n    {\n        session.Store(new Foo { Value = ""foo"" });\n        session.SaveChanges();\n    }\n\n```\nstore.DatabaseCommands.PutIndex(\n    ""ByClr"",\n    new IndexDefinition\n    {\n        Indexes = {{""ClrType"",FieldIndexing.NotAnalyzed}},\n        Map = @""from doc in docs\n            select new { ClrType = doc[""""@metadata""""][""""Raven-Clr-Type""""] };"",\n    },\n    true);\n\nusing (var session = store.OpenSession())\n{\n    var typeName = ReflectionUtil.GetFullNameWithoutVersionInformation(typeof(Foo));\n    var all = session\n        .LuceneQuery<Foo>(""ByClr"")\n        .Where(""ClrType:[[\\"""" + typeName + ""\\""]]"")\n        .WaitForNonStaleResultsAsOfNow(TimeSpan.MaxValue)\n        .ToList();\n\n    Assert.Equal(1, all.Count);\n}\n```\n\n}\nThis works, though\n\nThe issue is the way you do the query and that the ClrType must be NotAnalyzed\n'"
127,338939,b'Fixed\n'
129,339581,"b'Just fixed this in my fork. \nAdded two tests. The scenario is now broken for phrase queries (multi-terms), but works fine for single ones:\n\n```\n    [Fact(Skip = ""This still fails because of the new greediness in the regex. Needs more work.""]\n    public void Can_parse_NonAnalyzed_Multiple_Terms_UnquotedStringWithSquareBrackets()\n    {\n        var query = QueryBuilder.BuildQuery(""ClrType:[[Sync`1[[Bar, BarLib]], SyncLib]] OR ClrType:[[Sync`1[[Foo, FooLib]], SyncLib]]"", new PerFieldAnalyzerWrapper(new StandardAnalyzer(Version.LUCENE_29)));\n\n        Assert.True(query is PhraseQuery);\n        var terms = ((PhraseQuery)query).GetTerms();\n        Assert.Equal(terms[0].Field(), ""ClrType"");\n        Assert.Equal(terms[0].Text(), ""Sync`1[[Bar, BarLib]], SyncLib"");\n        Assert.Equal(terms[1].Field(), ""ClrType"");\n        Assert.Equal(terms[1].Text(), ""Sync`1[[Foo, FooLib]], SyncLib"");\n    }\n\n    [Fact]\n    public void Can_parse_NonAnalyzed_UnquotedStringWithSquareBrackets()\n    {\n        var query = QueryBuilder.BuildQuery(""ClrType:[[Sync`1[[Foo, FooLib]], SyncLib]]"", new PerFieldAnalyzerWrapper(new StandardAnalyzer(Version.LUCENE_29)));\n\n        Assert.True(query is TermQuery);\n        Assert.Equal(((TermQuery)query).GetTerm().Field(), ""ClrType"");\n        Assert.Equal(((TermQuery)query).GetTerm().Text(), ""Sync`1[[Foo, FooLib]], SyncLib"");\n    }\n```\n'"
130,339973,b'apparently fixed on master. waiting for push.\n'
129,340038,"b""This isn't actually a problem, you need to use RavenQuery.Escape(type)\n"""
131,343743,"b""We weren't removing stuff for the index cache, fixed. Thanks for noticing.\n"""
130,343744,b'fixed\n'
110,343746,b'Fixed\n'
79,343755,b'fixed\n'
132,345300,"b'Fixed locally, will be pushed tomorrow\n'"
138,350075,"b""I'm not sure how you achieved this previously but this would be my\ninitial idea for solving this\n\nI'm going to assume you have an index document, what i would do is\nanytime an index is updated or created to store inside that document\nall of the types that index works with in a easily visible way (this\nmight already be the case) and have a special index that would be over\nthe index objects document types property so this way when a document\ncomes in you just hit the special index that gives you all of the\nindexes that might need to be recalculated based on the incoming\ndocument instead of having to hit all available indexes.\n\nWhile it would be an assumption I assume this should be a very quick\noperation since the indexes index would never be stale except when\nsomeone alters/creates an index which should be a relatively uncommon\nscenario in a production db. \n"""
138,351015,b'Fixed\n'
139,356591,"b'Not an issue.\nBasically, you are issuing the query too fast, since RavenDB computes indexes on the background.\n'"
139,356601,b'it is right thinks\n'
139,356602,b'thanks\n'
140,356684,"b'Opps, that is how it works now :-)\n'"
81,357313,b'Supported now\n'
143,363882,"b""Item 2) isn't currently implemented, see http://groups.google.com/group/ravendb/browse_thread/thread/3df57d19d41fc21 and http://github.com/ravendb/ravendb/issues/issue/91\n"""
118,363887,"b""I'm happy to do this, give me a couple of days to get the info together and I'll update the docs.\n"""
144,366398,"b'Could repro this on latest sources. The error is that store-level DatabaseCommands was being regenerated on every property get invocation, so you could NEVER set operation headers at the store level. \n\nThe next problem was that at session level, the commands were again copied every time, without accounting for store-level operation headers. \n\nFixed both issues in my branch. Will send a pull request soon.\n'"
133,369100,"b""Ok - I tried to dig into this issue.\n\nI can increase MaxVerPages to just get a bigger version store, but that's just curing the symptoms, not the disease.\n\n[How Do I Pulse My Transaction?](http://managedesent.codeplex.com/wikipage?title=HowDoI&referringTitle=ManagedEsentDocumentation) suggests to periodically commit to avoid running out of version store. But I'm still a little bit afraid of Raven.Storage.Esent, so I'm not going to touch this.\n\nThe bulk operations aren't transactional anyway so my probably naive suggestion would be to just batch the bulk operations.\n\nI've done this and it at least solves this issue. I'm not sure, if it doesn't create new ones. It would be nice, if you could check this.\n\nSHA: 5d7d772100ddbf9ec228c0f28cf99715a8176fc9\n"""
118,369298,"b""I've updated the docs. I published it at http://ravendb.net/documentation/how-indexes-work-updated, so that you can read it before it's publicly available.\n"""
133,370313,b'Applied\n'
134,370315,b'HostName\n'
144,373539,b'Fixed\n'
118,373541,b'Done\n'
147,374663,b'I need just a tad more information here.\nWhat is indexedUsers ?\n'
148,375236,"b""The problem isn't there with build 136\n"""
148,376202,b'Fixed\n'
147,376247,"b'```\npublic class Order\n{\n    public string Id { get; set; }\n    public string Customer { get; set; }\n    public IList<OrderLine> OrderLines { get; set; }\n    public User User { get; set; }\n\n\n    public Order()\n    {\n        OrderLines = new List<OrderLine>();\n    }\n}\n\npublic class OrderLine\n{\n    public string ProductId { get; set; }\n    public int Quantity { get; set; }\n}\n\npublic class User\n{\n    public string Name { get; set; }\n}\n```\n\n//index\n            using (var s = _store.OpenSession())\n            {\n                _store.DatabaseCommands.PutIndex(""test"", new IndexDefinition<Order, Order>\n                {\n                    Map = ""from doc in docs select new {doc.Customer,doc.User.Name}"",\n                    Stores = {{ ""Customer"", FieldStorage.Yes } }\n                }\n                , true);\n\n```\n        }\n```\n\n//store\n            using (var s = _store.OpenSession())\n            {\n                var order = new Order();\n                order.OrderLines = new List<OrderLine>();\n                order.Customer = ""two"";\n                order.User = new User();\n                order.User.Name = ""zz2"";\n                var line = new OrderLine();\n                line.ProductId = ""productids/3"";\n                line.Quantity = 10;\n                order.OrderLines.Add(line);\n                s.Store(order);\n                s.SaveChanges();\n            }\n////query\n            using ( var s = _store.OpenSession())\n            {\n\n```\n            var o3 = from n in s.Query<Order>(""test"") select new { n.Customer };\n\n            var o4 = o3.ToList(); //throw exception\n\n        }\n```\n'"
147,377158,b'Fixed.\n'
143,377548,"b'thanks for your response,two question \n1. the session is thread safe or not  , i should open session for each query  like unit test or use single session for application lifetime.\n2. Map = ""from doc in docs select new {doc.Name,doc.User.Name}""  is not allowed?\n\xe2\x80\x9cName\xe2\x80\x9d is can\'t reduplicate infomation\n'"
143,382386,b'ok \n'
149,382392,"b""No, you must specify unique names for each element.\nFor the linq part, you can use the Lucene query, I'll look into how to fix this issue for you\n"""
143,382489,"b""For qu 1) I'd recommendtaking a look at the docs, see http://ravendb.net/documentation/client-api and http://ravendb.net/documentation/client-api/design-guidelines.\nFor 2) I'd recommand posting it to the discusssion group here http://groups.google.com/group/ravendb, as more people will be able to help out. Make sure you post a full code sample so it can be reproduced.\n"""
150,383858,b'Pulled\n'
151,383861,b'Pulled\n'
145,384176,b'Fixed\n'
151,384178,b'Pulled\n'
150,384179,b'Pulled\n'
143,384275,"b""http://groups.google.com/group/ravendb   is valid? i can't open the link\n"""
143,384620,"b""I just tried it on my machine and it works okay, so I don't know what the problem is, sorry. Try testing it at http://downforeveryoneorjustme.com.\n"""
149,390540,b'waiting\n'
91,406056,b'Fixed\n'
156,406959,b'Pulled\n'
157,406960,b'Fixed\n'
159,406961,b'Duplicate\n'
152,406966,b'Pulled\n'
156,406968,b'Pulled\n'
141,420263,b'Already done\n'
134,420265,b'Done\n'
155,422422,b'Done!\n'
142,425884,b'Done http://ravendb.net/bundles/authorization\n'
80,425955,b'done\n'
161,426147,b'Done\nhttp://ravendb.net/faq/includes\n'
146,429384,b'Done\n'
163,429386,b'Done\n'
160,429585,b'Done\n'
164,431343,b'Pulled\n'
165,431654,"b'Pulled.\nPlease note that next time, it would be better to create separate tests, rather than modifying existing ones.\n'"
166,457742,b'Pulled\n'
171,458686,"b""Noo, meant to submit this to Ayende's fork\n"""
174,461107,b'Started\n'
174,461500,b'And submitted\n'
176,461555,"b'We might be even be able to let you do more complex things, like template for the actual full blown view.\n'"
174,470215,b'Done\n'
177,470224,b'Pulled\n'
179,470537,b'_have_ to rollback on failure\n'
181,476476,"b""+1 for the option 2 suggestion, I think the best approach to this would be for Raven to expose a custom type like RavenAttachment or similar that has the binary property on it where you stuff the content. Then for Raven to handle the underlying magic of where you're getting the attachment from, perhaps with with an optional param to either pull or not pull the attachment content when querying the documents that contain the attachment.\n"""
180,476690,"b'No, the ids are correct, they are ""genres/1"", ""genres2"", etc.\n'"
180,476707,"b'Then line 16 of the Index for the Store View should be:\n\n<%: Html.ActionLink(genre.Name, ""Browse"", ""Store"", new { id = genre.Id }, null)%>\n'"
170,479384,b'I have started to refactor the samples to get this done.\n'
170,481767,b'I see that I have to wait for the Query<T>() implementation from Rob Ashton before I can make alle LuceneQuery<T> disappear .\n'
170,496289,"b'That was merged in, so you can do that.\n'"
180,496290,"b'Fixed, thanks!\n'"
170,497483,"b""which branch is this merged into? master at git://github.com/ravendb/ravendb.git doesn't give me any new updates?\n"""
170,497563,b'Still in the unstable fork.\nUse \ngit://github.com/ayende/ravendb.git \n'
182,499071,b'Pulled\n'
167,499074,"b'Not going to happen, will work in SL UI\n'"
169,499075,"b'Not going to happen, will wait for SL UI\n'"
168,499077,"b'Not going to happen, will wait for SL UI\n'"
149,499079,b'This was fixed\n'
136,499080,"b'Not going to make this change. \nWe already do that in the Linq API, and the Lucene level API is meant to be low level stuff\n'"
172,499098,b'No longer considered\n'
94,499099,b'Done\n'
78,499100,"b""Won't be an issue with the SL UI\n"""
183,504113,"b'Fixed, thanks\n'"
186,508616,b'```\nclass NumberT\n{\n    public string Id { get; set; }\n    public int cost { get; set; }\n}\n```\n'
186,508936,"b'You need to let RavenDB knows about the sort order.\n\nsession.DatabaseCommands.PutIndex(""fornumber"", new IndexDefinition\n            {\n                Map = @""from s in docs.NumberTs\n                        select new { s.cost }"",\n                SortOptions = {{""cost"", SortOption.Int}}\n            }, true);\n'"
188,510711,"b'Btw: Small typo in the test class: ""DyanmicQueries"" \n'"
186,510829,b'Thanks\n'
185,511234,"b'This is actually typo in the code, fixed.\n'"
187,511235,"b'Fixed, thanks\n'"
181,517302,b'Attachments can now replicate\nAttachment now have trigger support\n'
194,517667,"b'Hi, I need to get a contribution agreement from you to accept the code.\nhttp://ravendb.net/faq/contributing\n'"
191,517671,b'Thanks so much for doing this!\n'
194,531339,b'Pulled\n'
192,531342,b'Pulled\n'
193,531343,b'Pulled\n'
196,544910,b'Pulled\n'
198,558731,b'Pulled\n'
197,558733,b'Already done locally\n'
199,566038,b'the version is build_169\n'
199,566077,"b'session.LuceneQuery(INDEX_SOFT_NAME).Where(""f_platform:1 AND (f_name:_H_ OR f_alias:_H_)"").OrderBy(new[] { ""-f_License"", ""f_totaldownload"" }).Take(100);\n'"
199,566079,"b""why the star(*) can't be show?\n"""
199,566080,b'_h_\n'
199,566645,"b'The star is because the comments are using markups\nYou have to escape it using a \\, like so\n*H*\n'"
199,566652,"b'And this test pass:\n\n[Fact]\npublic void CanQueryStartingInH()\n{\n    using(var store = NewDocumentStore())\n    {\n        using (var session = store.OpenSession())\n        {\n            session.Advanced.DatabaseCommands.PutIndex(""test"", new IndexDefinition\n            {\n                Map = @""from s in docs.Softs\n                select new { s.f_platform, s.f_name, s.f_alias,s.f_License,s.f_totaldownload}"",\n                Analyzers =\n                    {\n                        {""f_name"", typeof(KeywordAnalyzer).AssemblyQualifiedName},\n                        {""f_alias"", typeof(KeywordAnalyzer).AssemblyQualifiedName},\n                    },\n                Indexes =\n                    {\n                        {""f_platform"", FieldIndexing.NotAnalyzed},\n                        {""f_License"", FieldIndexing.NotAnalyzed},\n                        {""f_totaldownload"", FieldIndexing.NotAnalyzed},\n                        {""f_name"", FieldIndexing.Analyzed},\n                        {""f_alias"", FieldIndexing.Analyzed},\n                   },\n                SortOptions = \n                    {\n                        { ""f_totaldownload"", SortOptions.Int },\n                        { ""f_License"", SortOptions.Int },\n                    }\n\n```\n        }, true);\n\n        var entity = new \n        {\n            f_platform = 1,\n            f_name = ""hello"",\n            f_alias = ""world"",\n            f_License = ""agpl"",\n            f_totaldownload = -1\n        };\n        session.Store(entity);\n\n        session.Advanced.GetMetadataFor(entity)[""Raven-Entity-Name""] = ""Softs"";\n\n        session.SaveChanges();\n\n        Assert.NotEmpty(\n            session.Advanced.LuceneQuery<dynamic>(""test"").\n            WaitForNonStaleResults().\n            Where(""f_platform:1 AND (f_name:*H* OR f_alias:*H*)"")\n            .OrderBy(new[] { ""-f_License"", ""f_totaldownload"" })\n            .ToList()\n            );\n    }\n}\n```\n\n}\n'"
199,566653,"b'And this test pass:\n\n[Fact]\npublic void CanQueryStartingInH()\n{\n    using(var store = NewDocumentStore())\n    {\n        using (var session = store.OpenSession())\n        {\n            session.Advanced.DatabaseCommands.PutIndex(""test"", new IndexDefinition\n            {\n                Map = @""from s in docs.Softs\n                select new { s.f_platform, s.f_name, s.f_alias,s.f_License,s.f_totaldownload}"",\n                Analyzers =\n                    {\n                        {""f_name"", typeof(KeywordAnalyzer).AssemblyQualifiedName},\n                        {""f_alias"", typeof(KeywordAnalyzer).AssemblyQualifiedName},\n                    },\n                Indexes =\n                    {\n                        {""f_platform"", FieldIndexing.NotAnalyzed},\n                        {""f_License"", FieldIndexing.NotAnalyzed},\n                        {""f_totaldownload"", FieldIndexing.NotAnalyzed},\n                        {""f_name"", FieldIndexing.Analyzed},\n                        {""f_alias"", FieldIndexing.Analyzed},\n                   },\n                SortOptions = \n                    {\n                        { ""f_totaldownload"", SortOptions.Int },\n                        { ""f_License"", SortOptions.Int },\n                    }\n\n```\n        }, true);\n\n        var entity = new \n        {\n            f_platform = 1,\n            f_name = ""hello"",\n            f_alias = ""world"",\n            f_License = ""agpl"",\n            f_totaldownload = -1\n        };\n        session.Store(entity);\n\n        session.Advanced.GetMetadataFor(entity)[""Raven-Entity-Name""] = ""Softs"";\n\n        session.SaveChanges();\n\n        Assert.NotEmpty(\n            session.Advanced.LuceneQuery<dynamic>(""test"").\n            WaitForNonStaleResults().\n            Where(""f_platform:1 AND (f_name:*H* OR f_alias:*H*)"")\n            .OrderBy(new[] { ""-f_License"", ""f_totaldownload"" })\n            .ToList()\n            );\n    }\n}\n```\n\n}\n'"
170,569712,b'Done\n'
195,569718,b'Done\n'
199,572017,"b""Thank you. this can't solve my question.\nI have send a mail to you with my test data.\n"""
199,572112,"b""the mail don't reply \ni want send my test to you, can you give a mail to receive the file?\n"""
200,596947,"b'Is this implemented ?\n\nWhen I try to create an index like this, I get an error:\n\nerror CS1061: \'System.Linq.IGrouping\' does not contain a definition for \'__document_id\' and no extension method \'__document_id\' accepting a first argument of type \'System.Linq.IGrouping\' could be found (are you missing a using directive or an assembly reference?)\n\nIt seems obvious, as the document_id is lost in the grouping.\n\nThis is the generated code:\n\n```\npublic class Index_ad : AbstractViewGenerator\n{\n    public Index_ad()\n    {\n        this.ForEntityName = null;\n        this.ViewText = @""from product in docs\n                            from prop in product.Properties\n                            group prop by prop.PropertyName into g\n                            select new\n                            {                               \n                                _ = g.Select(x => new Lucene.Net.Documents.Field(g.Key, x.Value, Lucene.Net.Documents.Field.Store.YES, Lucene.Net.Documents.Field.Index.NOT_ANALYZED))\n                            }"";\n        this.MapDefinition = docs => from product in docs\n            from prop in product.Properties\n            group prop by prop.PropertyName into g\n            select new { _ = g.Select(x => new Lucene.Net.Documents.Field(g.Key, x.Value, Lucene.Net.Documents.Field.Store.YES, Lucene.Net.Documents.Field.Index.NOT_ANALYZED)), __document_id = g.__document_id };\n        this.AddField(""_"");\n        this.AddField(""__document_id"");\n    }\n}\n```\n'"
213,613966,b'Fixed\n'
208,615863,b'Fixed\n'
211,615865,b'Fixed\n'
222,620768,b'Fixed\nAlso implemented proper caching\n'
220,620790,b'Fixed\n'
92,622164,b'Not enough interest in this\n'
135,622171,b'Fixed\n'
137,622172,b'Fixed\n'
158,622173,b'There is no interest in this\n'
188,622186,b'Fixed\n'
82,622188,b'No demand\n'
201,622190,b'Implemented\n'
215,622292,b'Fixed\n'
209,622302,b'Pulled\n'
209,622303,b'Pulled\n'
218,622326,b'Fixed\n'
219,622339,b'Fixed\n'
221,622358,b'Fixed\n'
216,622427,"b'Implemented, but just for Count, and there are no tests yet.\nNot sure HOW to expose this through the client API, either.\n'"
