pull_id,pull_no,title,body
736405475,5475,b'Added test key.',b'Added back in the test key to fix the extension issue.'
736350973,5474,b'Fix for #5469',"b""This PR fixes #5469. The issue is coming from the assumption that `ImageResizer` creates a separate `Bitmap`, but when image is already the target dimension `ImageResizer` actually simply returns the source image. Other image methods are likely to dispose of the source image. For example, in this test a getter method get's called twice, and on the second call the source image gets disposed, causing the error. \r\n\r\nA transformer should only be responsible of disposing the objects it creates. One attempt to solve this issue was to keep track of the last Bitmap created to ensure we don't dispose of an object that was not created within  `ImageResizer.` However, the issue encountered with this approach is that the object created by another transformer may be deleted if that transform gets called again. This happens because the source buffers get reused, so image transforms will dispose the previous source image object when they get called again.  \r\n\r\n\r\nhttps://github.com/dotnet/machinelearning/blob/master/src/Microsoft.ML.ImageAnalytics/ImageLoader.cs#L238"""
735708463,5472,b'Arcade CI Testing',b'Arcade CI Testing Draft PR'
735179198,5471,b'MaxModels exit criteria for AutoML unit test',b'Update to https://github.com/dotnet/machinelearning/pull/5163.\r\n\r\nUses the internal [`maxModels`](https://github.com/dotnet/machinelearning/blob/e50c4d20012e0d62852f404ae443afca7dad043e/src/Microsoft.ML.AutoML/API/ExperimentSettings.cs#L60) parameter instead of `MaxExperimentTimeInSeconds` for the exit criteria of AutoML. \r\n\r\nThis is to increase the test stability in case the test is run on a slower machine.'
732842412,5468,"b'fix issue 5020, allow ML.NET to load tf model with primitive input and output column'","b'Fix issue 5020, enable tensorflow transformer take primitive type as input column.\r\n\r\n'"
731822738,5467,b'Fixed MacOS daily & nightly builds due to Homebrew bug',"b""Similar to Issue #5457, the nightly ML.NET MacOS builds are failing due to the `openssl` package that is due to be removed from the MacOS images and an outdated standard Homebrew installation on CI's MacOS images, as discussed in the original MacOS-Homebrew GitHub [issue](https://github.com/actions/virtual-environments/issues/1811). This PR adds the fix for this issue.\r\n\r\nIt is said [in this comment](https://github.com/actions/virtual-environments/issues/1811#issuecomment-717348403) that the fix for this issue will be deployed in a few days, until which the changes in this PR will remain on main."""
731603007,5464,b'The `-test` command for windows. Nuget packages',"b""The `-test` command works for windows. CI doesn't work yet as the CI pipeline hasn't been updated. Neither does nightly.\r\n\r\nNuget packages can now be created. Symbols packages are not working yet."""
731089609,5462,b'Add AutoML culture issue test',b'Follow up of #5163 \r\n\r\nHere I add the changes on PR #5163 and a test to actually show that the changes worked correctly. The plan is to merge that other PR and then add this PR for the test.\r\n\r\n'
731013105,5461,b'Debugging Arcade MacOS',"b'Debugging Arcade MacOS runs to see run results on CI, and to see potential differences between local vs CI runs.\r\n'"
730729894,5460,b'Changing LoadRawImages Sample',"b'To resolve issue #5456\r\n\r\nSince the image is raw, what other info should I print to make this sample more useful? '"
729300422,5457,b'Fixed MacOS CI Pipeline builds',"b""This PR adds build workarounds for the recently-failing MacOS builds. As discussed in the main MacOS-Homebrew GitHub [issue](https://github.com/actions/virtual-environments/issues/1811), the `openssl` package that is due to be removed from the MacOS images and an outdated standard Homebrew installation on CI's MacOS images were causing the builds to fail."""
728633113,5455,b'handle exception during GetNextPipeline for AutoML',b'fix part of issue found from #5428 \r\n\r\nhandle exception during GetNextPipeline for AutoML experiment to avoid exception crash the whole AutoML pipeline.\r\n\r\n'
728503780,5454,b'Fix MacOS Pipelines build',"b""We are excited to review your PR.\r\n\r\nSo we can do the best job, please check:\r\n\r\n- [ ] There's a descriptive title that will make sense to other developers some time from now. \r\n- [ ] There's associated issues. All PR's should have issue(s) associated - unless a trivial self-evident change such as fixing a typo. You can use the format `Fixes #nnnn` in your description to cause GitHub to automatically close the issue(s) when your PR is merged.\r\n- [ ] Your change description explains what the change does, why you chose your approach, and anything else that reviewers should know.\r\n- [ ] You have included any necessary tests in the same PR.\r\n\r\n"""
727741648,5453,b'issue 5336',"b""fix issue #5336 \r\n1. use byte array to create tensor instead of string\r\n2. use Unicode encode instead of UTF8\r\n\r\nThis issue is little bit complicated so please read through below:\r\n\r\nUser want to load a pb model in ML.NET, the input tensor looks like below which is a serialized Example object (a binary buffer, not a text string):\r\n`\r\n      inputs['inputs'] tensor_info:\r\n      dtype: DT_STRING\r\n      shape: (-1)\r\n      name: input_example_tensor:0\r\n`\r\n\r\nI find a workable solution is first convert Example object to protobuf encoded byte array using:\r\n`\r\nexample.ToByteArray()\r\n`\r\nthen convert byte array to string (char array) using some sort of reliable encoding (ideally Unicode or Base64 encoding):\r\n`\r\nEncoding.Unicode.GetString(example.ToByteArray())\r\n`\r\nThen ML.NET will convert the string back to byte array with same encoding and pass to tf.net:\r\n`\r\nEncoding.Unicode.GetBytes(((ReadOnlyMemory<char>)(object)data[i]).ToArray());\r\n`\r\n\r\nThe method ML.NET uses to create Tensor is [CastDataAndReturnAsTensor](https://github.com/dotnet/machinelearning/blob/release/1.5.2/src/Microsoft.ML.TensorFlow/TensorflowTransform.cs#L808), previously we are using [UTF8](https://github.com/dotnet/machinelearning/blob/release/1.5.2/src/Microsoft.ML.TensorFlow/TensorflowTransform.cs#L832-L838) to decode the string and convert to byte array, UTF8 is not reliable encoding as I described in this [comment](https://github.com/dotnet/machinelearning/issues/5336#issuecomment-714278364) so I would like to change the encoding to Unicode.\r\nAlso, recently Xiaoyun upgrade our TF version in this [PR](https://github.com/dotnet/machinelearning/pull/5404) and changed to use string[] instead of byte[][] to create Tensor, in this case we need to use byte[][] as the input string itself is converted from binary buffer(protobuf encoded). """
726827215,5445,b'Use Timer and ctx.CancelExecution() to fix AutoML max-time experiment bug',"b""Fix #5437 \r\n\r\nThis PR utilizes `Timer` and `ctx.CancelExecution` in AutoML's `Experiment` to listen for and cancel ongoing experiment after given `MaxExperimentTime` has elapsed."""
725990643,5444,b'Improving error message ',b'PR to close #3995 \r\n'
721915897,5439,b'Update OnnxRuntime to 1.5.2',b'Update OnnxRuntime to 1.5.2\r\n\r\n'
721319211,5436,b'[SrCnnEntireAnomalyDetector] Upgrade boundary calculation and expected value calculation',"b""We are excited to review your PR.\r\n\r\nSo we can do the best job, please check:\r\n\r\n- [ ] There's a descriptive title that will make sense to other developers some time from now. \r\n- [ ] There's associated issues. All PR's should have issue(s) associated - unless a trivial self-evident change such as fixing a typo. You can use the format `Fixes #nnnn` in your description to cause GitHub to automatically close the issue(s) when your PR is merged.\r\n- [ ] Your change description explains what the change does, why you chose your approach, and anything else that reviewers should know.\r\n- [ ] You have included any necessary tests in the same PR.\r\n\r\n#5430 \r\n#5429 \r\n#5441 \r\n\r\nChanges.\r\n1. Check the data range of input data and the output expected values so that they are aligned.\r\n2. Upgrade the boundary unit calculation.\r\n"""
721011426,5435,b'ProduceWordBags Onnx Export Fix ',"b'`ProduceWordBags` Onnx export assumes that the input will be a string of untokenized text. However, in ML.NET the user can choose to tokenize the text before passing it. Even though this is an unnecessary step, since a `WordTokenizer` is added before the `NgramExtraction` transformer, there is no error in ML.NET but there is an error in OnnxRuntime because a double tokenization resulted in more dimensions in Onnx. I have changed the Squeeze transformer to Reshape, so the dimension can remain consistent in this edge case. \r\n\r\n'"
720536960,5433,b'added in DcgTruncationLevel to AutoML api',b'Fixes issue #5425. Adds in DcgTruncation level to the AutoML api to match the normal ML.Net API.'
717003033,5424,b'merge master to arcade branch',"b""We are excited to review your PR.\r\n\r\nSo we can do the best job, please check:\r\n\r\n- [ ] There's a descriptive title that will make sense to other developers some time from now. \r\n- [ ] There's associated issues. All PR's should have issue(s) associated - unless a trivial self-evident change such as fixing a typo. You can use the format `Fixes #nnnn` in your description to cause GitHub to automatically close the issue(s) when your PR is merged.\r\n- [ ] Your change description explains what the change does, why you chose your approach, and anything else that reviewers should know.\r\n- [ ] You have included any necessary tests in the same PR.\r\n\r\n"""
716997196,5423,b'arcade linux build',b'make arcade linux build pass\r\n\r\n'
716936459,5422,b'Arcade linux',b'1. sync to master to take latest code\r\n2. make arcade build on linux\r\n\r\n'
715031754,5417,b'Fix perf regression in ShuffleRows',"b'RowShufflingTransformer is using ChannelReader incorrectly. It needs to block waiting for items to read and was Thread.Sleeping in order to wait, but not spin the current core. This caused a major perf regression.\r\n\r\nThe fix is to block synchronously correctly - by calling AsTask() on the ValueTask that is returned from the ChannelReader and block on the Task.\r\n\r\nFix #5416\r\n\r\nResults of the added benchmark:\r\n\r\n||      Method |    Mean |    Error |   StdDev | Extra Metric |\r\n|------------|------------:|--------:|---------:|---------:|-------------:|\r\n|master | ShuffleRows | 2.911 s | 0.0379 s | 0.0354 s |            - |\r\n|PR | ShuffleRows | 2.736 ms | 0.0530 ms | 0.0470 ms |            - |\r\n\r\n\r\ncc @jwood803 @ogo-adp @stephentoub '"
711737646,5415,b'Change the _maxCalibrationExamples default on CalibratorUtils',"b'As reported offline, ML.NET yielded different results than TLC when training a PlattCalibrator with the same dataset.\r\n\r\nUpon further investigation, it turns out that it only happened on datasets over 1 million rows, and the reason was that when porting the CalibratorUtils class from TLC, a ""_maxCalibrationExamples = 1000000"" default parameter was added.\r\n\r\nUpon reading through the code (in particular [CalibratorTrainingBase\'s ProcessingTrainingExample](https://github.com/dotnet/machinelearning/blob/4960f9de83351b25874e58d1ca504c9a32aa1112/src/Microsoft.ML.Data/Prediction/Calibrator.cs#L1437-L1443)) it turns out that on TLC `TrainCalibrator` was called with `maxRows = 0`, and this made that when training the PlattCalibrator, all the dataset was seen, but only 1M rows where selected randomly to be [added to the DataStore](https://github.com/dotnet/machinelearning/blob/4960f9de83351b25874e58d1ca504c9a32aa1112/src/Microsoft.ML.Data/Prediction/Calibrator.cs#L1402-L1417). In contrast, on ML.NET that same method was called with `maxRows = 1M`, and this made that only the first 1M rows were added to the DataStore (instead of randomly selecting them from the complete dataset). This caused bias and undesired results.'"
706692416,5407,b'[Draft] Test Onnx 1.4.0',b'[Draft] Test Onnx 1.4.0\r\n\r\n'
706647770,5406,b'Update to Onnxruntime 1.5.1',"b""Updated to use Onnxruntime 1.5.1, and also added some variables to the Onnx-related tests so it's easier to manually test the onnxruntime GPU prereleases whenever it's necessary."""
705875264,5404,b'update tensorflow.net to 0.20.0',"b""We are excited to review your PR.\r\n\r\nSo we can do the best job, please check:\r\n\r\n- [x] There's a descriptive title that will make sense to other developers some time from now. \r\n- [x] There's associated issues. All PR's should have issue(s) associated - unless a trivial self-evident change such as fixing a typo. You can use the format `Fixes #nnnn` in your description to cause GitHub to automatically close the issue(s) when your PR is merged.\r\n- [x] Your change description explains what the change does, why you chose your approach, and anything else that reviewers should know.\r\n- [x] You have included any necessary tests in the same PR.\r\n\r\n# Related issue\r\n#5401 """
702152822,5400,b'Updated branch version',b''
701466963,5399,b'[AutoML]  add SerializedProperties to PipelineNode class.',"b""We are excited to review your PR.\r\n\r\nSo we can do the best job, please check:\r\n\r\n- [x] There's a descriptive title that will make sense to other developers some time from now. \r\n- [x] There's associated issues. All PR's should have issue(s) associated - unless a trivial self-evident change such as fixing a typo. You can use the format `Fixes #nnnn` in your description to cause GitHub to automatically close the issue(s) when your PR is merged.\r\n- [ ] Your change description explains what the change does, why you chose your approach, and anything else that reviewers should know.\r\n- [x] You have included any necessary tests in the same PR.\r\n\r\n# Related issue\r\n- https://github.com/dotnet/machinelearning-modelbuilder/issues/792\r\n\r\nThis PR adds `SerializedProperties`, which is a `Dictionary<string, string>` with `PipelineNode`'s property's name as key and **the code to create this property** as value, so that Microsoft.ML.CodeGenerator can directly rely on it to recreate the pipeline. Through this model builder will be able to persist pipeline info in json format so that users will be able to re-add project even after they close model builder. """
700344451,5395,b'Fixes #744 Perf improvement for TopK Accuracy and return all topK in Classification Evaluator',"b""We are excited to review your PR.\r\n\r\nSo we can do the best job, please check:\r\n\r\n- [x] There's a descriptive title that will make sense to other developers some time from now. \r\n- [x] There's associated issues. All PR's should have issue(s) associated - unless a trivial self-evident change such as fixing a typo. You can use the format `Fixes #nnnn` in your description to cause GitHub to automatically close the issue(s) when your PR is merged.\r\n- [x] Your change description explains what the change does, why you chose your approach, and anything else that reviewers should know.\r\n- [x] You have included any necessary tests in the same PR.\r\n\r\n\r\n- Improved the perf of the Top K calculation in the ClassificationEvaluator\r\n- Added a new benchmark. Improvements are very small but still present with the tiny data set and only 4 classes. \r\n- outputting AllTopK for K=1..ClassCount always, but left Top k parameter and output of the singular TopK metric to not break compatibility.\r\n\r\nFixes #744"""
693045830,5386,b'Added support for RankingMetrics with CrossValSummaryRunner',"b'Fix #5381 \r\n\r\nPreviously, `AutoFitRankingTest` was never testing `RankingMetrics` with `CrossValSummaryRunner` due to the row limit for cross validation testing, and as the MLSR dataset that `trainDataView` is pulling from is large:\r\n\r\nhttps://github.com/dotnet/machinelearning/blob/f87a3bbd8adb12934dae0a0060813ce9b7500664/test/Microsoft.ML.AutoML.Tests/AutoFitTests.cs#L123-L141\r\n\r\nhttps://github.com/dotnet/machinelearning/blob/6bae29fc342bf192a36a69484d62db8d6266f8df/src/Microsoft.ML.AutoML/API/ExperimentBase.cs#L109-L130\r\n\r\nAs a result, this lacking of support for `RankingMetrics` with `CrossValSummaryRunner` was not noticed until Issue #5381. This PR adds support for this case, and edits the `RankingMetrics` AutoML unit tests to include testing of `RankingMetrics` with `CrossValSummaryRunner` as well.'"
689703001,5380,b'Added check for paths with wildcards to LoadFromTextFile',"b'Fix #5377 \r\n\r\nAdded validity check for a given path string that may contain wildcards such as ""*"", which result in errors when given to `Directory.Exists`.'"
689460452,5378,"b""Added getter for InputObjectDataView's Data value in documentation""","b""#Fixed #5371 \r\n\r\nAdded getter function to the `private readonly IEnumerable<InputObject> _data` to prevent call to `InputObjectDataView`'s private value."""
689021492,5374,b'Optimize SR Cnn algorithm',"b""We are excited to review your PR.\r\n\r\nSo we can do the best job, please check:\r\n\r\n- [ ] There's a descriptive title that will make sense to other developers some time from now. \r\n- [ ] There's associated issues. All PR's should have issue(s) associated - unless a trivial self-evident change such as fixing a typo. You can use the format `Fixes #nnnn` in your description to cause GitHub to automatically close the issue(s) when your PR is merged.\r\n- [ ] Your change description explains what the change does, why you chose your approach, and anything else that reviewers should know.\r\n- [ ] You have included any necessary tests in the same PR.\r\n\r\nChanges.\r\n1. Adjust the expected value for not anomaly points.\r\n2. Add minimum length checks for STL decompose to prevent exceptions. \r\n\r\nAssociated Issues.\r\n#5379 """
688769243,5373,b'Created v1.5.2 relase notes',b'Created v1.5.2 release notes from v1.5.1 release notes. '
684936195,5363,b'add test for model not reload issue',b'add unit test for #5351 \r\n\r\n'
681774277,5354,b'Fixes #5352 issues caused by equality with non-string values for root cause localization ',"b""Fixes #5352 \r\n\r\nComparison between dimension value and aggregated symbol failed or got the incorrect result when their values weren't string. \r\nNeed to support nullable object as the dimension value and aggregated symbol, so we use Object.Equals(a, b) instead of a == b and a.Equals(b).\r\n\r\nBesides, I replace object using Object to align with the data type of dimension and aggregated symbol in this extension."""
680609239,5351,"b'fix issue 5350, check file lock before reload model'","b""fix issue #5350 \r\n\r\nThe issue here is we use a file system watcher to watch model file change and reload the new model file automatically. The problem here is when we try to load the new model file this file is still locked thus cause the reload to fail. \r\nPreviously we are wait for 50 milliseconds before reload the new model file but that fails to work sometimes so here change the strategy to consistently check whether the file can be reload every 50 milliseconds for at most 100 times (which is roughly at total 5 seconds). If we still can't reload new model file after 5 seconds, throw IOException.\r\n\r\n"""
679507967,5349,b'Throw when PCA generates invalid eigenvectors',"b""Fixes https://github.com/microsoft/NimbusML/issues/497\r\n\r\nAs discussed there, the problem is that when PCA generates eigenvectors with NaN values, a cryptic exception is thrown on NimbusML during prediction and not during training. It's thrown during prediction because to do prediction NimbusML saves the model to disk and loads it back, and during deserialization there's a check that prevents loading eigenvectors that contain NaNs.\r\n\r\nIn this PR I'm adding an exception to the constructor of PcaModelParameters so that a more readable exception is thrown during training of either NimbusML or ML.NET, so there's no need to wait until prediction for NimbusML to throw it."""
679456563,5348,b'Added IDisposable to OnnxTransformer and fixed memory leaks',"b""Fixes #5342 \r\nA temp file was being created when the Onnx model was being loaded from within an ML.NET model. This file wasn't being deleted when the session exited because OnnxTransformer didn't support IDisposable. (Also added Dispose calls to OnnxTransformer objects in the tests)\r\n\r\nThanks to the reported bug, this also fixes memory leaks that we would see from OnnxRuntime.dll because the native memory associated with InferenceSession wasn't freed.\r\n"""
678030394,5345,b'AutoML.Net filter infinity value when calculate average score',"b""### Fix issue:\r\n- #5339 \r\n\r\nThis pr fixes #5339 by filtering out the infinity value when [calculating average scores](https://github.com/dotnet/machinelearning/blob/9d3e5452096ac61baf9d2a7ead5a963865fca7d5/src/Microsoft.ML.AutoML/Experiment/Runners/CrossValSummaryRunner.cs#L155) from the results of cross validation runner, so that the average score won't be infinity value in any situation, so that the return value of [GetIndexCloestToAverage](https://github.com/dotnet/machinelearning/blob/37af3f9db86414f4ec5b16a8734c90b498946caa/src/Microsoft.ML.AutoML/Experiment/Runners/CrossValSummaryRunner.cs#L84) will not be -1.\r\n\r\nIn rare case, when all the scores from cross-validation run are infinitive, the average score will be designated to nan. and the return value of [GetIndexCloestToAverage](https://github.com/dotnet/machinelearning/blob/37af3f9db86414f4ec5b16a8734c90b498946caa/src/Microsoft.ML.AutoML/Experiment/Runners/CrossValSummaryRunner.cs#L84) will be 0\r\n\r\nNoted: the +/- infinite value is filtered before calculating average score because of the same reason nan value is filtered. By doing that the evaluation for cross-validation runner might be better than the real situation."""
677944230,5344,b'Integrated guardian SDL tools',b'The guardian tools allow us to run security tools. This PR adds the configuration for those tools into the repo.'
673929369,5338,b'Removed ability to save filters from legacy filter code',"b""Fixes #5335 \r\n\r\nThe offending code in ResultProcessor wasn't being used at all. So I have deleted that.\r\n\r\nAnd as per @yaeldekel the StatefulFilterTransform is a legacy filter from TLC and is not part of the ML.NET public API. It is being used internally in some time series code. But it doesn't need the ability to be saved. \r\n\r\nWe should at some point, upgrade the time series code to use the new CustomMappingTransform and delete the StatefulFilterTransform. \r\n\r\nUntil then I have deleted the SerializableLambdaTransform and the associated functionality in LambdaTransformBase."""
668367592,5332,b'[Reference] Sample on how to solve FxCop errors',"b""This draft PR is meant for reference, and it's not meant to be merged on the main repo, only show case how the workflow will be for working with FxCop issues.\r\n\r\nNotice in the commit history of this PR that FxCop analyzers are enabled first to see the errors they raise, then they're addressed on following commits, and finally the FxCop analyzers are disabled again because they shouldn't be part of a PR solving FxCop issues (enabling FxCop Analyzer on the main repo will only be done after all its issues are addressed, in order to enable us to create single PRs addressing each issue).\r\n\r\nThis PR also contains some tips and tricks by @sharwell about how to deal with the errors that appear when running FxCop."""
668301001,5331,b'Enable FxCop on all projects',"b""This PR enables de FxCop Analyzers on all projects of ML.NET using the `Sdl.Required.Warning.ruleset` recommended to us offline.\r\n\r\n**NOTE:** Right after enabling the FxCop Analyzers (i.e. when syncing with this branch), I've found necessary to Clean, Close, Clean and Rebuild the ML.NET Visual Studio solution to make the changes effective."""
667361943,5329,b'Changed component governance scan type to Register',b''
666660128,5328,b'Replace whitelist terminology to allow list',b''
666653854,5327,b'Added build step for component governance',b'As per security compliance guidelines.'
663435689,5319,b'Aded catch in R^2 calculation for case with few samples',"b'This PR fixes #5306 by adding a catch for the calculation of `R^2` during metric calculation. When there is less than two rows of data used for the calculation of `R^2`, the returned value becomes `-Infinity`, whereas it should be returning `NaN`.\r\n\r\nAn example of this behavior in another ML framework is in scikit-learn, in the following lines:\r\n\r\nhttps://github.com/scikit-learn/scikit-learn/blob/fd237278e895b42abe8d8d09105cbb82dc2cbba7/sklearn/metrics/_regression.py#L587-L590'"
660923423,5313,b'Channels await fix',b'Fix for #5312\r\n\r\nSetting as a draft to add a test.'
659404170,5310,b'RobustScalingNormalizer entrypoint added',"b'When RobustScalingNormalizer was added, PR #5166, the corresponding entrypoints were not created. This PR fixes #5309 by adding in the correct entrypoint for it.'"
655122348,5302,b'Updated version to 1.5.2',b''
655059377,5301,b'Improve VectorTypeAttribute(dims) docs',"b""Addresses #5273 : On the confusion of users about how to use the VectorTypeAttribute.\r\n\r\nAs confirmed offline by @yaeldekel , users currently can't provide a multidimensional array with a `VectorTypeAttribute(dims)` . They should flatten their arrays into 1-D arrays and then use the `VectorTypeAttribute(dims)` to describe the shape ML.NET will use internally.\r\n\r\n**Note:** Originally I was planning on throwing a readable exception if the user added the `VectorTypeAttribute` to a multidimensional array, but some discussion would be needed to decide where to do this (either in `InternalSchemaDefinition.Create`, or somewhere else on `InternalSchemaDefinition` or `SchemaDefinition` itself). Furthermore, I'm thinking that maybe there's a bug on these classes, where if a user adds a custom `DataViewType` (see #3263 ) and adds the attribute of this type to an array, then some unexpected behavior will happen as [`InternalSchemaDefinition.GetMappedType()` ](https://github.com/antoniovs1029/machinelearning/blob/bb13d629000c218136e741b643767cf45ae12fc4/src/Microsoft.ML.Data/DataView/InternalSchemaDefinition.cs#L163) assumes that any array (multidimensional or otherwise) is `isVector = true`, and then elsewhere in the code we assume that if a type `isVector == true` then it _should_ be a `VectorDataViewType`. More discussion and inspection would be needed on this regard and it might, or not, affect the decision of where to throw an exception for multidimensionals array with `VectorTypeAttribute`. And these may be addressed on a separate PR.\r\n\r\nSo, for the time being, and the fact that this might not be a common problem anyway, I think that simply changing slightly the docs is the best option for the next release."""
654621086,5298,b'Added IsotonicCalibrator ONNX Export Support',b'WIP PR to add ONNX export support for the Isotonic Calibrator\r\n\r\nCurrent work remaining is implementing if-then-else conditionals. Intermediate calculations and if-then-else inputs are already implemented.\r\n\r\nI will add tests (first written in this [commit](https://github.com/dotnet/machinelearning/pull/5289/commits/b27d278708beed87d0e7131a58f7fe16abad3f3f)) for validating IsotonicCalibrator with ONNX and merge with upstream once PR #5289 is merged.\r\n\r\n'
654434456,5297,b'Release notes for v1.5.1',b''
653856686,5296,b'Update OnnxTransformer Docs',"b""* Address https://github.com/dotnet/machinelearning/issues/5262#issuecomment-650256576 : Users find it confusing not knowing where to find the info related to the dependencies of Onnx and how to make it work on the GPU. So I think it's best to keep this info in the docs of the `OnnxScoringEstimator` and add a note on every `ApplyOnnxModel()` overload and to `OnnxTransformer` pointing to the Estimator's docs.\r\n\r\n* Address #5293 : About the confusing nature of the `shapeDictionary` parameter. I've updated the docs for this parameter based on the explicit suggestion made by the user.\r\n\r\n* Added a couple of details about how the `gpuDeviceId` and `fallbackToCpu` interact with each other.\r\n\r\n**Note:** As stated in https://github.com/dotnet/machinelearning/issues/5262#issuecomment-650256576 for some reason the published docs for [OnnxTransformer](https://docs.microsoft.com/en-us/dotnet/api/microsoft.ml.transforms.onnx.onnxtransformer?view=ml-dotnet) are outdated, and for some reason it includes info that was deleted on the ML.NET 1.5.0 release (or maybe before that). @natke thinks this is a bug in the tools that generate the published docs, and is seeking for help on this, as this tools are outside of the ML.NET repo itself. In the meantime, we'll try to see if updating this docs on this PR will force the tool to actually generate the correct updated docs.\r\n\r\n"""
652868225,5292,b'Test fix using breastcancel dataset and test cleanup',"b'this PR is part of below PR, we decide to hold the text loader PR but this test fix can be merged separately:\r\nhttps://github.com/dotnet/machinelearning/pull/5275\r\n\r\n2 fixes in this PR:\r\n1. breastcancel dataset don\'t have header, fix tests using this dataset with option hasHeader from true to false\r\n2. we already have dataset breastcancel so stop using hardcoded string ""breast-cancer.txt""\r\n'"
652739656,5291,b'throw exception when call AppendCacheCheckPoint on empty estimator chain',b'issue #4909 \r\n\r\n\r\n\r\n'
