pull_no,comment_no,comment_body
2988,63059305,"b'@ludovic-henry I tried your suggestion, but I still hit the same issue! I did check that `WaitForExit` was indeed called in the `if` block, but still when `ExitCode` was accessed after that, it threw the same exception!\n\n```\n/Users/ankit/dev/xamarin-android/build-tools/mono-runtimes/mono-runtimes.targets: error : Error executing task Exec: Process must exit before requested information can be determined.\n                                Error executing task Exec: System.InvalidOperationException: Process must exit before requested information can be determined.\n                                  at System.Diagnostics.Process.EnsureState (System.Diagnostics.Process+State state) [0x000b9] in /Users/ankit/dev/mono/mcs/class/referencesource/System/services/monitoring/system/diagnosticts/Process.cs:1439\n                                  at System.Diagnostics.Process.get_ExitCode () [0x00000] in /Users/ankit/dev/mono/mcs/class/referencesource/System/services/monitoring/system/diagnosticts/Process.cs:219\n                                  at (wrapper remoting-invoke-with-check) System.Diagnostics.Process:get_ExitCode ()\n                                  at Microsoft.Build.Utilities.ToolTask.ExecuteTool (System.String pathToTool, System.String responseFileCommands, System.String commandLineCommands) [0x00101] in /Users/ankit/dev/mono/mcs/class/Microsoft.Build.Utilities/Microsoft.Build.Utilities/ToolTask.cs:185\n                                  at Microsoft.Build.Tasks.Exec.ExecuteTool (System.String pathToTool, System.String responseFileCommands, System.String commandLineCommands) [0x00026] in /Users/ankit/dev/mono/mcs/class/Microsoft.Build.Tasks/Microsoft.Build.Tasks/Exec.cs:83\n                                  at Microsoft.Build.Utilities.ToolTask.Execute () [0x0001c] in /Users/ankit/dev/mono/mcs/class/Microsoft.Build.Utilities/Microsoft.Build.Utilities/ToolTask.cs:128\n                                  at Microsoft.Build.BuildEngine.TaskEngine.Execute () [0x00000] in /Users/ankit/dev/mono/mcs/class/Microsoft.Build.Engine/Microsoft.Build.BuildEngine/TaskEngine.cs:134\n                                  at Microsoft.Build.BuildEngine.BuildTask.Execute () [0x0008f] in /Users/ankit/dev/mono/mcs/class/Microsoft.Build.Engine/Microsoft.Build.BuildEngine/BuildTask.cs:101\n```\n\nAnd then\n\n```\nUnhandled Exception:\nSystem.ObjectDisposedException: Cannot access a disposed object.\nObject name: \'handle\'.\n  at System.Runtime.InteropServices.SafeHandle.DangerousAddRef (System.Boolean& success) [0x00025] in /Users/ankit/dev/mono/mcs/class/corlib/System.Runtime.InteropServices/SafeHandle.cs:125\n  at System.Threading.NativeEventCalls.SetEvent (Microsoft.Win32.SafeHandles.SafeWaitHandle handle) [0x00002] in /Users/ankit/dev/mono/mcs/class/corlib/System.Threading/NativeEventCalls.cs:54\n  at System.Threading.EventWaitHandle.Set () [0x00012] in /Users/ankit/dev/mono/mcs/class/corlib/System.Threading/EventWaitHandle.cs:207\n  at (wrapper remoting-invoke-with-check) System.Threading.EventWaitHandle:Set ()\n  at Microsoft.Build.Utilities.ProcessWrapper.Dispose (System.Boolean disposing) [0x0001d] in /Users/ankit/dev/mono/mcs/class/Microsoft.Build.Utilities/Microsoft.Build.Utilities/ProcessWrapper.cs:100\n  at System.ComponentModel.Component.Finalize () [0x00000] in /Users/ankit/dev/mono/mcs/class/referencesource/System/compmod/system/componentmodel/Component.cs:35\n```\n\nAnd I agree with @grendello. The ""expectation"" from the `WaitForOutput` method is (this is what the code was earlier) that it returns when the process is done and we can use `ExitCode`. So, we should ensure that the process has indeed exited, so, always call `WaitForExit`.\n'"
3033,64114096,b'Does this need to be `#if XBUILD_12 || XBUILD_14` ?\n'
5251,129176851,"b""The VBCSCompiler is the shared compiler server. It isn't used yet though. And csi is REPL and the tasks assembly has a task for this, so including it."""
5251,130104024,"b""@akoeplinger Roslyn used to fallback to looking in the framework folder for csc.exe, but recently they changed this behavior, and don't fallback to any location. So, we are setting `CscToolPath` accordingly.\r\nChanging csc.exe's path to this might break any scripts/programs depending on the existing location."""
5251,130104333,"b""re:vbc, I tried to build a simple project and it emitted some errors, but it built fine with vbnc.exe . I'll remove vbc from the list."""
5251,130107205,"b'With the facades removed from the `Roslyn/` folder, I can\xe2\x80\x99t run `csi.exe` because of missing `System.ValueTuple` and `System.Runtime`. If I local copy those from `lib/mono/4.5`, then it works.'"
5251,130113853,"b""Did you mean `lib/mono/msbuild/15.0/bin/Roslyn` -> `lib/mono/4.5/` ? We could do that too. Though having an actual directory, let's us have more control over the specific `Roslyn` folder meant for `msbuild` - allowing us to add/remove files, if necessary (based on what upstream msbuild does!)"""
5251,130373968,b'We are using `csc.exe` from 4.5 .'
5251,130380140,b'This is to copy `ROSLYN_FILES_FOR_MSBUILD` to `lib/mono/msbuild/15.0/bin/Roslyn`. This does not copy `csc.exe`.'
5251,130394318,"b'Which files do you want to symlink? Current list of files:\r\n\r\n```\r\nROSLYN_FILES_FOR_MSBUILD = \\\r\n        $(ROSLYN_CSC_DIR)/Microsoft.Build.Tasks.CodeAnalysis.dll \\\r\n        $(ROSLYN_CSC_DIR)/Microsoft.CSharp.Core.targets \\\r\n        $(ROSLYN_CSC_DIR)/Microsoft.CodeAnalysis.CSharp.Scripting.dll \\\r\n        $(ROSLYN_CSC_DIR)/Microsoft.CodeAnalysis.CSharp.dll \\\r\n        $(ROSLYN_CSC_DIR)/Microsoft.CodeAnalysis.Scripting.dll \\\r\n        $(ROSLYN_CSC_DIR)/Microsoft.CodeAnalysis.VisualBasic.dll \\\r\n        $(ROSLYN_CSC_DIR)/Microsoft.CodeAnalysis.dll \\\r\n        $(ROSLYN_CSC_DIR)/Microsoft.VisualBasic.Core.targets \\\r\n        $(ROSLYN_CSC_DIR)/System.Collections.Immutable.dll \\\r\n        $(ROSLYN_CSC_DIR)/System.Reflection.Metadata.dll \\\r\n        $(ROSLYN_CSC_DIR)/VBCSCompiler.exe \\\r\n        $(ROSLYN_CSC_DIR)/VBCSCompiler.exe.config \\\r\n        $(ROSLYN_CSC_DIR)/csi.exe \\\r\n        $(ROSLYN_CSC_DIR)/csi.exe.config \\\r\n        $(ROSLYN_CSC_DIR)/csi.rsp```\r\n\r\nDo we want the `*Scripting`, `*VisualBasic.dll`, `*Build.Tasks*`, `csi*` and `VBCSCompiler*` assemblies in 4.5 too? Currently, we have `Microsoft.CodeAnalysis.CSharp.dll`, `Microsoft.CodeAnalysis.dll` and `System*` assemblies in 4.5, so we can symlink those.'"
5251,130397396,"b're: `$(INSTALL_LIB) $(ROSLYN_FILES_FOR_MONO) $(TARGET_DIR)`\r\n\r\nThis is existing bit that copies csc.exe and related files to `lib/mono/4.5`.\r\n\r\nre: `.. copy only real msbuild ..`\r\n\r\nSounds good to me. The `*Scripting*` assemblies should be wherever `csi.exe` is, so I will install it to `lib/mono/4.5` too.'"
5251,130416452,"b""re:csi, Yeah, I'll install that to `4.5` and add the script.\r\n\r\nI was about talking `csi` being surfaced as a msbuild task, but it looks like it isn't actually referenced in the targets files at all! So, it doesn't have a corresponding `$(CsiToolPath)`, which means that we should have `csi.exe` available (symlinked) in the msbuild directory. And with that the `*Scripting*` assemblies will need to be linked too.\r\n\r\n`VBCSCompiler` is used by the `Csc` task, which would expect it to be in the msbuild directory. So, I could install+symlink this.\r\nAnother thing to note here though - this isn't usable right now as Roslyn disables it's use (https://github.com/dotnet/roslyn/blob/master/src/Compilers/Shared/BuildServerConnection.cs#L68).\r\n\r\n"""
5848,146533624,b'`Microsoft.CodeAnalysis.VisualBasic.dll` is the only one left. Updating to symlink all the files.'
5976,150125238,"b'The first was because the `14.0/Imports` was copied to `15.0` in https://github.com/mono/msbuild/blob/xplat-master/install-mono-prefix.sh#L78 .\r\nAnd the second was from the `NuGet.Build.Tasks` package (https://github.com/mono/msbuild/blob/xplat-master/nuget-support/tv/Microsoft.Common.targets/ImportAfter/Microsoft.NuGet.ImportAfter.targets).\r\nBut this file was subsequently removed from there. So, we are taking it from here!'"
5976,150128174,"b""@directhex heads up, there are more changes coming with respect to packaging. So, don't get started on this yet :)"""
8241,182584128,"b""That's a good question. This was based on `exception19.cs` where the exception was being reused too. I think maybe we can enhance this to test that the trace was indeed reset when the filter invoked. Currently, trace from both the original exception and the new trace here would have 1 frame, but if we change `Throw` to instead have two frames then we will be checking if the filter got a *new* trace or not. How does that sound?\r\n\r\n```\r\n+\t\t} catch (Exception ex) when (CheckTrace (ex, 2, true)) {\r\n+\t\t\tCheckTrace (ex, 2);\r\n+\t\t}\r\n```"""
8523,185067994,"b'Ok. How do I get the same path in `msbuild.py`, to copy the binlogs?'"
8523,185140704,"b'@akoeplinger @alexischr  How do I get the path for `mono_repo` here, short of a hardcoded relative path?'"
12488,251977264,"b""Upstream has now switched to simply using `Current` instead of a version number. For example, it would have been `16.0` for this update but instead now it will always be `Current`. I am creating symlinks because there are still tools out there (like nuget.exe and probably others) which look for `15.0`. Also, I'm having to do a workaround here because bockbuild has a bug due to which it doesn't support symlinks to directories. There is already a PR up for that and I'm testing the build with that."""
14242,280274349,b'It would be much better to install msbuild to `/tmp/mono-from-source` and then use `DLL_PATH=/tmp/mono-from-source/lib/mono/msbuild/Current/bin/MSBuild.dll`.\r\nmsbuild is not just the stuff in that directory.'
15284,296033411,"b'IMHO, it would be useful to add these comments to the commit message too.'"
15604,302247325,"b'IMHO, we should continue to use the exact version here instead of `latest`. That makes it easy to just glance at this to see which roslyn version is being used.'"
18747,382706329,b'should this use `InvariantCulture`?'
18747,382711168,b'This should be moved into `ExecutionContext`. And `internal DebugStore store;` in `ExecutionContext` be made private.'
18747,382712199,"b'1. if the task is not complete, then this being called is likely a bug, so maybe we should throw an exception?\r\n2. Callers never seem to check `context.Store==null`. If the assumption is that this will only be called when it has been successfully loaded, then we should throw an exception here. Else, we need to check this at the call sites.'"
18747,382734897,"b""I don't see this being used anywhere, so I'm guessing that this is for future work. Should the results be cached here, and invalidated if new methods are added?"""
18747,382736044,b'Does this need to be async?'
18747,382737201,"b""maybe rename `store` to `_store`, just to ensure that we don't accidentally use the field when the the property should have been used?"""
18747,382737450,"b'not ""ensure"", but make it more apparent.'"
18747,382738884,"b'`script` here can be null, and that would end in a NRE in `ScriptSource.TryParse`. We can avoid calling `OnGetScriptSource` if `script == null`. \r\nAlso, `ScriptSource.TryParse` should check `id == null`.'"
18747,382744896,b'Do we need to return from here? Rest of the method assumes that `values != null`.'
18747,382745837,b'replace with a `for (int i = 0; i < vars.Length && i < values.Length; i ++) {` ?'
18747,382751748,b'Use `bp_loc.AsLocation ()` here?'
18747,382752601,"b'ah, missed that! \xf0\x9f\x91\x8d '"
19113,387812826,b'Should this also change to `start.Line > spEnd.Line`?'
19113,387813258,b'And similarly here - `end.Line < spStart.Line`?'
19113,387827153,"b'`EnableBreakpoint` can fail, we should handle that here.'"
19113,387841624,"b'Maybe we can change `EnableBreakpoint` to take `loc`+`sessionId` as an argument, and return `Task<Breakpoint>`? The returned `bp` would be in `Active` or `Disabled` state depending on the result of `MonoCommands.SetBreakpoint`. It would be easier to understand, IMHO.'"
19113,387876760,"b'nitpick: `SetBreakpoint` vs `EnableBreakpoint`, I find it confusing. Maybe we can change `EnableBreakpoint` to `EnableMonoBreakpoint` or `EnableBreakpointInMono`?'"
19113,387914812,"b""`src` is not being used anywhere. Is it just to verify that we have a file corresponding to that?\r\nMaybe we should:\r\n\r\n```\r\nvar store = await LoadStore (sessionId, token);\r\n// and then check GetFileById, if we want that\r\n```\r\n\r\n.. and remove the call to `LoadStore` inside the loop, since IIUC, this shouldn't change for the same `sessionId`."""
19113,387915003,b'.. this `LoadStore`.'
19113,387918331,b'```\r\nforeach (var kvp in oldContext.BreakpointRequests)\r\n     context.BreakpointRequests[kvp.Key] = kvp.Value.Clone();\r\n```'
19113,387919138,"b'nitpick: maybe add `var id_to_use = sessionId.sessionId ?? ""default"";`, and use that in the two places in this method. Just to avoid accidental changes to only one of them.'"
19113,387919824,"b'Might be just me - I find the name confusing, I would suggest `CheckIsRuntimeReady` or something like that.'"
19113,387932411,"b'um `s,RuntimeReady,IsRuntimeReady`?'"
19113,387934442,"b'maybe `s,ToObject,ToBreakpoinByUrlResponse,`. The response object for `setBreakpoint` is different from this. The interface for chrome devtools names this as `export interface SetBreakpointByUrlResponse {`.'"
19113,387939570,b'What is this doing?'
19113,387946271,"b'nitpick:` , send: true, ..`.'"
19113,387948704,b'Should this be called `ChangeContext` or `SwitchContext`?'
19113,387949127,"b'.. with `Change/SwitchContext`, `previousContext` here will make more sense.'"
19113,387949782,b'.. and it makes sense to move this bit into `SwitchContext` too.'
19128,388508235,b'maybe `Could not find a command for id {id} to respond with result {result}.` ?'
19232,393296926,"b'I was thinking that too, but VS seems to invoke the getters when enumerating the members of the containing object. I tried that by adding a CWL to the getter, and that gets logged to the console. If I add a `Thread.Sleep (10000)`, then the debugger takes time to expand the value.'"
19232,393311923,"b'I can restrict to automatic properties for now. And devtools-protocol supports explict getters, so we can maybe use that.'"
19232,393435462,"b'Ah, Thanks for the explanation!'"
19232,401798095,b'I can drop this change.'
19432,403201838,"b'At this point, we have the value, correct? Then we should return after the `SendResponse`.'"
19432,403202351,b'Maybe `TryGetVariableValue`? It would make it more obvious that this might not be able to find the value.'
19432,403205314,"b'This should result in exactly 0 or 1 values, correct? Maybe use `.SingleOrDefault` then?'"
19432,403209266,"b'Maybe, `var foundValue = values.Where (v => v [""name""].Value<string> () == expression).FirstOrDefault (); return foundValue;` ? Or appropriately modified if you make this method `TryGetVariableValue`.'"
19432,403210616,"b'Maybe, `thisValue = values.Where (v => v [""name""].Value<string> () == ""this"").FirstOrDefault ()`? unless this is faster.'"
19432,403213040,b'`try{}catch{}` around this whole thing and send an error response back in case of an exception.'
19432,403215247,"b'Um you can return `retString` from this method, and let the caller handle the `SendResponse` part.'"
19432,403215904,"b""And with the `try{}catch{}` in `GetEvaluateOnCallFrame`, this shouldn't be required here."""
19432,403221255,b'indent'
19432,403223373,"b'Since this could get called multiple times, and that ends up doing `SendMonoCommand` to get variables and values, it would be useful to catch the results somewhere, and just have `GetVariableValue` query that.'"
19432,403225345,b'Maybe name like `ConvertJSToCSharpType` or `*CLRType*`?'
19432,403226718,"b'Sounds fair, you can make the change later.'"
19432,403231060,"b'I mean the `TryGet` pattern, like:\r\n`Task<bool> TryGetVariableValue (MessageId msg_id, int scope_id, string expression, CancellationToken token, out JObject value) { ... }`\r\n\r\nAnd the callers use it like\r\n``` if (TryGetVariableValue (..., out var value)) { .. } else { .. failed ..}```'"
19432,403236317,"b'This seems a little confusing to me. Why not pass in only `syntaxTree`, and compute `root`, and `method` at the beginning of the loop? Are they expensive?'"
19432,403239080,"b'So.. no `out` parameters for async methods! My bad, ignore this :)'"
19505,407732773,"b'Oops, missed that. I was trying to decide when to show target vs delegate signature, but then moved that bit to js. '"
19490,407754275,"b'I wanted it to be ""strongly typed"" on JS side, so we could correctly decide what to add as `value: {..}`. I\'ll clean this up in a future PR, as you suggested in the other comment.'"
19505,407760084,b'\xf0\x9f\x91\x8d Fixed.'
19534,408299008,"b'You can move all the common code to a new base class derived from `DebuggerTestBase`, or derive this class from `SourceList`.'"
19534,408299746,"b""Why is this new driver required? you can still use the `invoke_static_method ('[debugger-test] DebuggerTests.DateTimeTest:LocaleTest')` from `debugger-driver.html`."""
19534,408300376,"b""If the new driver isn't required, then these tests can be moved to be with the existing tests?"""
19534,408301815,"b'You can use `Theory+InlineData` for this, like in https://github.com/mono/mono/blob/master/sdks/wasm/DebuggerTestSuite/Tests.cs#L1183-L1185 .\r\n\r\n```\r\n[Theory]\r\n[InlineData (""de-DE"")]\r\n[InlineData (""ja-JP"")]\r\npublic async Task LocaleSpecificDateTimeTest (string locale)\r\n```'"
19534,408303101,"b""It might be useful to test how this would interact/behave with browser's language being set, with the `--lang` argument in https://github.com/mono/mono/blob/master/sdks/wasm/ProxyDriver/TestHarnessStartup.cs#L152 . @lewing ?"""
19534,408384222,"b'We are not adding any new functions to the driver now, because we have `invoke_static_method`. We could even update the existing tests to remove:\r\n\r\n```\r\nthis.int_add = Module.mono_bind_static_method (""[debugger-test] Math:IntAdd"");\r\nthis.use_complex = Module.mono_bind_static_method (""[debugger-test] Math:UseComplex"");\r\nthis.delegates_test = Module.mono_bind_static_method (""[debugger-test] Math:DelegatesTest"");\r\nthis.generic_types_test = Module.mono_bind_static_method (""[debugger-test] Math:GenericTypesTest"");\r\nthis.outer_method = Module.mono_bind_static_method (""[debugger-test] Math:OuterMethod"");\r\nthis.async_method = Module.mono_bind_static_method (""[debugger-test] Math/NestedInMath:AsyncTest"");\r\nthis.method_with_structs = Module.mono_bind_static_method (""[debugger-test] DebuggerTests.ValueTypesTest:MethodWithLocalStructs"");\r\n```\r\n.. and use `invoke_static_method`. I\'ll leave it to you, and @lewing to decide :)'"
19584,410806636,b'DeleteOneSemiColon!'
19584,410807062,b'Maybe add a comment here referencing the issue?'
19588,410843008,"b'Oops, I missed that!'"
19688,419749606,b'Is this with 1-based column numbers?'
19688,419753740,"b'Then how do we differentiate between requests for exactly `column:0`, and inexact column (all breakpoints matching the line)?'"
19718,420421376,"b'You could use `CheckLocation (""dotnet://debugger-test.dll/debugger-array-test.cs"", 197, 44)`.'"
19718,420421568,b'The test name should be a little descriptive.'
19718,420422889,"b'The column number here is the only difference between the tests, correct? You can use `[InlineData (..)]` for that. See other uses of `InlineData` in the tests.'"
19718,420423262,"b'Also, you might want to add another test that has multiple possible breakpoints on the same line, so when you use `col==0`, you get multiple breakpoints set.'"
19718,420423591,b'Ignore that last comment!'
19718,420429405,b'Maybe `CheckMultipleBreakpointsOnTheSameLine`?'
19734,421702989,"b""This shouldn't be required."""
19734,421703148,b'Is this test really needed?'
19734,421706221,b'Can the list of usings be trimmed?'
19734,421708289,"b'Maybe do this after `CultureInfo.GetCultureInfo(locale).DateTimeFormat;`, because this can affect the result of that second one. Documentation says that it would cause it to not reflect ""user overrides"", I\'m not sure what that means, but might be safer to do that?'"
19734,422366439,"b'These can be changed to:\r\n```\r\nawait CheckProps (locals, new {\r\n        fdtp   = TString (dtfi.FullDateTimePattern),\r\n\tldp    = TString (dtfi.LongDatePattern),\r\n\tltp    = TString (dtfi.LongTimePattern),\r\n\tsdp    = TString (dtfi.ShortDatePattern),\r\n\tstp    = TString (dtfi.ShortTimePattern),\r\n\tdt     = TValueType (""System.DateTime"", dt.ToString ())\r\n}, ""locals"", num_fields: 9);\r\n\r\nawait CheckDateTime (locals, ""dt"", dt);\r\n```\r\n\r\nThis does the same tests as `CheckString` that you were doing.\r\nAlso, the `dt = TValueType` checks the description of the local variable `dt`. And the subsequent `CheckDateTime`, fetches the values of that `dt`, and compares that with the expected `dt`.'"
19695,424926449,"b'`bool TryGetPrimitiveValue<T> (JObject variable, out T value)`?'"
19695,424927560,"b'If `HandleExceptionFrame` returns null, then can be at least indicate that an exception was thrown?'"
19695,424940532,"b'Maybe: `bool TryGetMonoFrame (DebugStore store, JObject mono_frame, int frame_id, out Frame frame, out object callFrame)`? '"
19695,424941167,"b""IIUC, the original code didn't add to `frames`, and `callFrames`, in case it couldn't get the mono frame. Any reason for the change in behavior?"""
19695,424942002,"b'It would be very helpful to refactor this part into `GetMonoFrame`+`GetMonoFrames`, in an initial commit. And in the subsequent one make the new changes. That would make it easier to review, and spot changes.'"
19695,424943084,"b'Where does `_mono_wasm_fire_exc` come from? The function name I see in the code is `mono_wasm_fire_exc`. The same check exists for `_mono_wasm_fire_bp` too, but am curious about the reason.'"
19695,424946656,"b'It might be useful to move a lot of this code - getting the frames, exception details etc, to `library_mono.js`. It will save unnecessary roundtrips, and it will be easier to read/manipulate all the json stuff.'"
19786,425386753,"b'I think you need to do this before the line 1265 (`Task[] init_cmds...`), because that sends off the commands though we *wait* for for their finish later.'"
19786,425394366,"b""Oh, I just noticed that you are waiting for `Debugger.enable` before setting the breakpoint. I don't know what would happen if `SetBreakpointByUrl` is called before that.\r\nCan you set the breakpoint before `Runtime.runIfWaitingForDebugger`?\r\nHm if you want to set the breakpoint specifically *after* `Debugger.enable`, but *before* `Runtime.runIfWaitingForDebugger`, then you should only send the first 3 commands, then await all of those. Then set the breakpoint, and subsequently send the last two commands.\r\nFeel free to correct me."""
19786,425395653,"b""This isn't required as `EvaluateAndCheck` checks the function name."""
19786,425399199,"b'Since, you are waiting for `ready`, this can be like other tests and use `insp.Ready ( .. `.'"
19786,425399792,"b'`Assert.Contains (""dotnet://debugger-test.dll/debugger-test.cs"", scripts.Values)`'"
19786,425400562,"b'Why not `await SetBreakpoint (""dotnet://debugger-test.dll/debugger-test.cs"", 5, 2, expect_ok: true)`?'"
19786,425404811,"b'IIUC, this test is for checking that no `breakpointResolved` event is sent if we set the breakpoint after the debugger is ready. Then maybe rename this to something like `SetBreakpointAfterReadyNoBreakpointResolvedEventSent`?'"
19786,425405529,b'This can be removed.'
19786,425405733,b'This can be removed.'
19786,425405901,b'Is this needed?'
19786,425406088,b'restore the line?'
19786,425406134,b'This can be removed.'
19786,425406295,b'remove'
19786,425406447,"b'remove, and restore the empty line.'"
19786,425406775,b'Maybe rename this to `events`?'
19786,425407210,"b'Since, this tracks events, I would make this `event_order.Add ($""Debugger.scriptParsed#{dicFileToUrl[dbgUrl}"");`'"
19786,425410618,"b""Duplicating the code here feels brittle, because this could potentially become ineffective if there are changes in `insp.Ready` that we are needed here too, but don't get copied over. @lewing ?"""
19786,425411260,"b'I would move this before connecting, maybe before `using (var cts = ..`.'"
19786,425414155,b'Um you can use `SetBreakpoint` here too'
19726,425448394,"b""`Math.IntAdd` is present in `sample.cs` and `debugger-test.cs`, which means that I can't build `sample.dll` to include all the `debugger-test-*` files. I think we have some documentation referencing `sample.cs`, so instead of removing the method from there, I renamed this one."""
19786,425989251,b'not needed'
19786,425989430,b'You can remove this.'
19786,425989661,b'Indent needs to fixed.'
19786,425990335,b'`wait_for_event_fn` is null by default.'
19695,426884542,b'Enum or named constant? And maybe combine the two bools?'
19695,426885476,b'`className`?'
19695,426885730,"b""This isn't used, AFAICS."""
19695,426890630,b'Merge this and `_get_details_for_exception`?'
19695,426896717,"b""You can use something like:\r\n```c\r\n\t\t\tEM_ASM ({\r\n\t\t\t\tMONO.mono_wasm_add_typed_value ('exception', $0, { message: $1, stack_trace: $2 });\r\n\t\t\t}, class_name, message, stack_trace);\r\n```\r\n.. instead of a new `mono_wasm_exc_var` function."""
19695,426897328,"b'`s,scope_values,exception_props,`?'"
19695,426901953,"b""This isn't used, AFAICS."""
19695,426903513,"b'`s,HandleExceptionFrame,GetExceptionData,`?'"
19695,426904420,b'`mono_wasm_set_pause_on_exceptions_options`? or something like that?'
19695,426906902,"b'Should this be split into two - `IsFireBreakpointFunction`, and `IsFireExceptionFunction`?'"
19695,426910171,b'`GetScopeVariablesForJSFrame`?'
19695,426914999,"b'`s,exception,exceptionObjectId,`?'"
19695,426915628,"b'Splitting this change into a separate commit, would be helpful.'"
19695,426917369,"b'`scopeChain.First () [""object""]? [""objectId""] ?.Value<string> ()`?'"
19695,426918373,b'This method should just be returning what it found. The caller can decide what to do if no variables were found.'
19695,426918416,"b'can this return null? I think it will return an `IEnumerable`, which could be empty.'"
19695,426918966,b'Where is this called?'
19786,426950702,"b'Not required, because `EvaluateAndCheck` checks the function name.'"
19786,426950874,"b'nitpick, why not `Assert.False (events.Contains (""breakpointResolved""))`?'"
19786,426951272,b'Um forgot to rename this.'
19786,426952245,"b'Actually, use the specific Assert method like you did in another place - `Assert.DoesNotContain (""breakpointResolved"", events);`'"
19786,426952443,b'And this would become `Assert.Single (loc)`'
19786,426952534,"b'`locs`, or `locations`?'"
19786,426954084,"b'Do this for the `else` part too, to be consistently tracking `scriptParsed` events.'"
19786,426954579,"b'Why was this ""resolved""?'"
19760,435585317,"b""Hm we need to appropriately report errors in similar cases. Currently, we just return empty results. I will fix this for such calls, in a future PR. For this, I'm adding a test just to check that this doesn't crash."""
19938,436916876,"b'How about we create a new temporary branch, deleted after use, instead of user\'s `master` branch?\r\nOr use something like:\r\n```\r\nMONO_PROXY_REMOTE_REF="" ${MONO_REMOTE_NAME}/${MONO_BRANCH_NAME}:sdks/wasm/Mono.WebAssembly.DebuggerProxy""\r\n\r\n$ git fetch $MONO_REMOTE_NAME\r\n$ git ls-tree --name-only ${MONO_PROXY_REMOTE_REF}| grep ""\\.cs$"" | xargs -I{} sh -c ""git show ${MONO_PROXY_REMOTE_REF}/{} > $ASP_PROXY_PATH/MonoDebugProxy/ws-proxy/""\r\n```'"
19938,436917459,b'This can be replaced with:\r\n```\r\ngit fetch $ASP_REMOTE_NAME\r\ngit reset --hard ${ASP_REMOTE_NAME}/${ASP_BRANCH_NAME}\r\n```'
19938,436919396,"b'It might actually be useful to copy whatever is already in the existing checkout. That would allow incremental changes, and testing while working on something. Maybe that should be the default? If this is meant for use while working on the code, then I think that would be the best. If the user really wants to copy over changes from some branch, or remote etc, then they can handle preparing their local checkout.'"
19938,436919615,"b'IIUC, this would cause the execution to keep going, ignoring the `set -e`. Do we want it to proceed if this fails?'"
19938,436919704,b'Same for this.'
19938,436920305,b'These empty lines can be removed'
19938,436923822,"b""What kinda use case is this script meant for? I'm wondering if this script is doing too much."""
19987,447067733,"b""Shouldn't this depend on `silent`?"""
19987,447086345,"b'Here we are looking for `result`, and an `error` field in the object. Where is this `error` field mentioned in the protocol? I think it would help to differentiate, or figure out if we need only one bool property to indicate error/failure.'"
19987,447278284,"b'I have updated that test, and the behavior for `callFunctionOn`+`silent` in https://github.com/mono/mono/pull/20044 .'"
19999,448470951,"b'We should also add tests to specifically test the `column`, and `end` being optional.'"
19999,448528725,"b's,Nevative,Negative,'"
19760,449935471,b'I changed this in the valuetypes PR - https://github.com/mono/mono/pull/20045/commits/85ff76298061689e9d70f30a4155af0ee37c3c53 .'
19760,450343555,"b""I'll fix this up in the new PR."""
20142,457784981,"b'```suggestion\r\n\tEXCEPTION_MODE_UNCAUGHT = 1,\r\n\tEXCEPTION_MODE_ALL = 2\r\n```'"
20142,457785387,b'Maybe we should pass in a string `none`/`uncaught`/`all`?'
20142,457785582,"b'And `library_mono.js` can convert that to the expected enum, for `*debugger.c`.'"
20142,457785963,b'newline'
20142,457786103,"b'`s,getExceptionStateEnum,GetExceptionStateEnum,`'"
20142,457788202,"b'Maybe something like this?:\r\n\r\n```\r\n=> state switch {\r\n     ""uncaught"" => ExceptionState.Uncaught,\r\n     ""all""              => ExceptionState.All,\r\n     _                   => ExceptionState.None\r\n};\r\n```'"
20142,457789545,b'newline above this line'
20142,457789957,"b'We should probably rename `OnBreakpointHit` to `OnPause` now, as this handles exceptions too?'"
20142,458368286,b'Should we handle `error` here? And pass some fallback string to `mono_wasm_fire_exception` in case of that?\r\n'
20142,458378265,"b'This is fine too, but I meant that keep the enum here too, but convert that enum to a string in this method, so `library_mono.js` gets a string.'"
20142,458378443,b'Mixed spaces/tabs'
